Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,2.465423965987802,0.05440619157209403,0,0.10488508942189184,0.08333129047040114,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,4870.137659603494,4868.403162780541,0,6.51823445207475,0.001944504375272395
feeder2,1.543455556699894,0.08133934371981177,0,0.10808462073827539,0.08333131769634138,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,4867.856898507025,0,8.571101294733593,0.002555962956218356
feeder3,1.3422353458652416,-0.07127840847314833,0,0.14339622196434182,0.08333282359772493,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,4868.019640539892,0,5.303921935499126,0.0019026124674291988
feeder4,1.1671196315821089,-0.06252262244348507,0,0.1401963490605438,0.08333281728759241,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,0,0,0,0
feeder5,1.6268510201929902,0.05772187884163729,0,0.13819655760079824,0.08333281126662914,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,0,0,0,0
feeder6,2.962132092345205,0.15227324633221817,0,0.1527861011047405,0.08333283429915835,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,0,0,0,0
feeder7,1.4340920238752293,-0.07587120946366083,0,0.13193649002087374,0.08333216539798695,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,0,0,0,0
feeder8,2.5480262207803674,-0.13156795275397629,0,0.15278610088079742,0.08333283429915818,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,0,0,0,0
feeder9,0.9349565258568996,-0.05091446620648572,0,0.13549665459065952,0.08333279827281484,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,0,0,0,0
feeder10,1.013226979858519,0.052889567396528836,0,0.09417398151596627,0.0833306817202407,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,0,0,0,0
feeder11,1.6771421650178058,0.08802371643948452,0,0.13193772224835806,0.08333216377188449,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,0,0,0,0
feeder12,1.6785963043083698,-0.08809620516209843,0,0.08577488583588067,0.08332779893359876,0.0003929699369067979,1.5186995560431344,20.90701766298647,98.15844792772147,1.341536045074463,0,0,0,0,0
