CC,pen_25,pen_50,pen_75,pen_100
90,1423.8679377786013,3235.5543560630213,5029.532928224902,6802.098548804295
95,1274.0913704665077,3027.543431071087,4754.376394777415,6464.866555615721
99,1001.7783831683432,2647.9350011506594,4251.632026381018,5835.99690231391
