SEM,pen_25,pen_50,pen_75,pen_100
0.025,24740.35502890168,17034.402691627838,9363.714151623908,1716.2661473575622
0.1,24740.370807880387,17034.51700474302,9364.124613830612,1716.4689915734252
0.2,24740.37139852282,17034.568200885886,9364.140214954361,1716.5085411991895
