Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,0.2208072475911705,0.09518741376687803,3.0188550728489805,0.0694450637646497,-0.08332991816120047,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,4868.918446216056,4868.50433808679,0,1.5331914648819969,0.0035079537868571054
feeder2,0.7582177006836073,0.127698626632216,1.879084750121804,0.06944506377642429,-0.08332991816109116,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,4868.95742969964,0,-0.1791188092980737,0.004268098044912301
feeder3,1.0581143085818758,-0.1514948566109076,2.0551127416399417,0.06944508074776432,-0.08332991800366553,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,4868.009248633259,0,2.256345903753883,0.0035209429919960352
feeder4,-0.503947791974737,-0.06788323000132933,1.9449423100082992,0.06944508039067838,-0.08332991800697576,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,0,0,0,0
feeder5,0.2977111872610497,0.08456937797198505,1.9975674647166173,0.06944506721586444,-0.0833299182705346,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,0,0,0,0
feeder6,-0.4629906570333122,0.19680733920085924,4.482467298162057,0.06945435469399462,-0.08332985711155991,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,0,0,0,0
feeder7,-0.09787730670646105,-0.09526591044160145,2.086525433808058,0.06944506732004567,-0.08332991826956798,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,0,0,0,0
feeder8,0.08403796718051597,-0.18184270868633057,3.6361460636578253,0.06945435465534222,-0.0833298571117304,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,0,0,0,0
feeder9,0.34550454903013156,-0.06148841934895725,0.9675937558704293,0.06944506708607141,-0.08332991792141593,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,0,0,0,0
feeder10,0.7606519762281952,0.02979229686435273,1.2397473678121187,0.06944506343692718,-0.08332991795528917,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,0,0,0,0
feeder11,0.6919548646532534,0.14241015791967496,2.2395782116615988,0.06944506709283436,-0.08332991792135315,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,0,0,0,0
feeder12,0.4582345138421135,-0.1071930924430744,1.7689572529746636,0.06944506343693968,-0.08332991795528903,32870296944174845e-21,0.10122960173020876,-9.794807824072963,-14.1785479831854,1.4603078365325928,0,0,0,0,0
