Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,2.222544689988346,0.042259972607153126,-0.0,0.14653953154905142,0.08332543814075508,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,5342.803850816267,5340.9449159590085,0.009114816166211495,6.976045791429547,0.008039693556012613
feeder2,1.984070604655424,0.10336980516607304,-0.0,0.1497356893045496,0.08332549866603679,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,5340.538838061801,0.013594333173923327,8.520398799081793,0.008362762926308394
feeder3,1.6707610583890895,-0.08770437801383128,-0.0,0.1988683975647874,0.08332650188753596,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,5340.468981236299,0.0063941602400241215,5.842995031527627,0.0075212744746626465
feeder4,1.0974595114351915,-0.059039305227056395,-0.0,0.1956731000128138,0.08332659310593636,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,0.0,0.0,0.0,0.0
feeder5,1.6273131163836343,0.05875940335198668,-0.0,0.19367605193200227,0.08332627937179098,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,0.0,0.0,0.0,0.0
feeder6,2.846814956940741,0.14650709219346317,-0.0,0.20843960142234597,0.08332688692852203,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,0.0,0.0,0.0,0.0
feeder7,1.130647871186447,-0.06069868648829638,-0.0,0.17470032810715916,0.08332585857948054,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,0.0,0.0,0.0,0.0
feeder8,2.9138182854623,-0.14985725861660398,-0.0,0.20843946521155077,0.08332688686977932,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,0.0,0.0,0.0,0.0
feeder9,1.046779597351536,0.04403682173596946,-0.0,0.19097954388393193,0.08332636460180719,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,0.0,0.0,0.0,0.0
feeder10,0.9973745809840697,-0.05403498990789477,-0.0,0.1358217550217259,0.0833252171738257,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,0.0,0.0,0.0,0.0
feeder11,1.9776572650710402,0.10304915704452607,-0.0,0.17369991365566786,0.0833258758194811,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,0.0,0.0,0.0,0.0
feeder12,1.8199104043981136,-0.09516177262611103,-0.0,0.12743404218009152,0.08332504812410704,0.0023264703211804275,1.29447118180786,21.10837542746364,58.839596504054896,1.938,0.0,0.0,0.0,0.0,0.0
