SP25,SP50,SP100,SP75
1.5366499423980713,1.5806691646575928,1.573240041732788,1.6195259094238281
1.5938599109649658,1.5907931327819824,1.744455099105835,1.652791976928711
1.6149048805236816,1.6544349193572998,1.7399780750274658,1.6274471282958984
1.6025359630584717,1.61403489112854,1.7183780670166016,1.6183040142059326
1.6275279521942139,1.6304950714111328,1.6666269302368164,1.6292550563812256
1.670194149017334,1.664315938949585,1.6661920547485352,1.6345529556274414
1.6255779266357422,1.6434330940246582,1.6632311344146729,1.6580979824066162
1.686398983001709,1.7133090496063232,1.6246109008789062,1.675912857055664
1.6194968223571777,1.701603889465332,1.7209160327911377,1.5842258930206299
1.623974084854126,1.636221170425415,1.6391260623931885,1.6556830406188965
1.706096887588501,1.6955621242523193,1.7050268650054932,1.7040231227874756
1.6546039581298828,1.6670160293579102,1.7268450260162354,1.696748971939087
1.7975890636444092,1.8012299537658691,1.7953600883483887,1.7565059661865234
1.7379989624023438,1.7487969398498535,1.7378649711608887,1.782740831375122
1.5770139694213867,1.618300199508667,1.6309788227081299,1.6017560958862305
1.6127591133117676,1.5775911808013916,1.5899159908294678,1.5938680171966553
1.7688870429992676,1.7624499797821045,1.8528871536254883,1.7622060775756836
1.5817270278930664,1.6069731712341309,1.7428710460662842,1.6302480697631836
1.7984158992767334,1.7671558856964111,1.8002851009368896,1.7534518241882324
1.602618932723999,1.5994000434875488,1.734839916229248,1.5953178405761719
1.7692968845367432,1.7266440391540527,1.7550759315490723,1.731917142868042
1.6800661087036133,1.693336009979248,1.6921048164367676,1.6873250007629395
1.7476978302001953,1.8027219772338867,1.888646125793457,1.7968358993530273
1.6200690269470215,1.6763930320739746,1.6683568954467773,1.6804769039154053
1.56825590133667,1.6343448162078857,1.6325230598449707,1.5968189239501953
1.5840439796447754,1.6364219188690186,1.62540602684021,1.6319639682769775
1.5987489223480225,1.6564199924468994,1.7224948406219482,1.6692140102386475
1.6504850387573242,1.7040040493011475,1.781041145324707,1.6806230545043945
1.4561560153961182,1.4570949077606201,1.4508938789367676,1.4528579711914062
1.544947862625122,1.5671508312225342,1.6175270080566406,1.6210548877716064
1.4574551582336426,1.4432430267333984,1.5592188835144043,1.4572539329528809
1.5302519798278809,1.573599100112915,1.565006971359253,1.5696029663085938
1.4726741313934326,1.4715120792388916,1.5157220363616943,1.4782710075378418
1.4123530387878418,1.430521011352539,1.4359169006347656,1.4467599391937256
1.535370111465454,1.6222341060638428,1.6375908851623535,1.5831031799316406
1.5353541374206543,1.5465681552886963,1.6707029342651367,1.5412640571594238
1.4393808841705322,1.5629220008850098,1.447890043258667,1.4907901287078857
1.5402421951293945,1.5534660816192627,1.5922801494598389,1.508470058441162
1.435589075088501,1.451319932937622,1.4951560497283936,1.4487321376800537
1.432732105255127,1.4747529029846191,1.5270731449127197,1.4477999210357666
1.6037240028381348,1.6312220096588135,1.770531177520752,1.6205699443817139
1.5116851329803467,1.6550071239471436,1.518225908279419,1.5397491455078125
1.4794809818267822,1.5402159690856934,1.6373951435089111,1.5491461753845215
1.394827127456665,1.4305419921875,1.5546929836273193,1.4301409721374512
1.513503074645996,1.6013948917388916,1.6577417850494385,1.5609209537506104
1.5320689678192139,1.5791609287261963,1.721153974533081,1.588012933731079
1.447221040725708,1.5672760009765625,1.5764968395233154,1.4488420486450195
1.46183180809021,1.505953073501587,1.6557369232177734,1.4573280811309814
1.6233830451965332,1.7700331211090088,1.8375341892242432,1.6303749084472656
1.469069004058838,1.4853150844573975,1.6125750541687012,1.485795021057129
1.4404830932617188,1.4762828350067139,1.5683999061584473,1.4727258682250977
1.6015570163726807,1.6637969017028809,1.7512421607971191,1.6085598468780518
1.4569671154022217,1.4897232055664062,1.5655748844146729,1.4885399341583252
1.4457790851593018,1.4552700519561768,1.5658888816833496,1.443485975265503
1.5343151092529297,1.5837640762329102,1.5953140258789062,1.5457398891448975
1.4427120685577393,1.4830431938171387,1.539438009262085,1.4495289325714111
1.4423339366912842,1.4079370498657227,1.5408918857574463,1.4350409507751465
1.4150750637054443,1.4648208618164062,1.521803855895996,1.4470798969268799
1.5980470180511475,1.598724126815796,1.7383720874786377,1.6542370319366455
1.580394983291626,1.629399061203003,1.7285048961639404,1.588982105255127
1.400911808013916,1.4058949947357178,1.4072918891906738,1.375110149383545
1.4456429481506348,1.5679519176483154,1.5343451499938965,1.4524149894714355
