pen_25,pen_50,pen_75,pen_100
23789.0482,15771.2386,7756.03451,-55.287856
23706.46,15688.62,7673.45,-138.52
2003.65757,4007.31556,6010.97357,7975.01353
2003.65757,4007.31556,6010.97357,7975.01353
2003.658,4007.316,6010.974,8014.632
