Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,-1.1941298201457209,0.11517253227905022,4.528304335045838,0.06250170740578946,0.08333233975507472,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,4866.786142501468,4868.416353129363,0,-6.167407653072856,0.0036027044765315434
feeder2,-1.5631176814410819,0.11997627966058627,3.87931093489773,0.06250170744758582,0.083332339755077,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,4869.753995516776,0,-11.211581084502106,0.004392170666584909
feeder3,-2.4009371712258907,-0.13969332894675512,5.1114714104029275,0.06250176185662168,0.08333233975806566,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,4869.434157317058,0,-6.672942000253438,0.0031480347089266236
feeder4,-1.0092229802598518,-0.0918527785163498,2.762946210828872,0.0625017602192498,0.0833323397579757,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,0,0,0,0
feeder5,-1.3433829100744115,-0.0027511952378340976,3.6741626987005027,0.06250172662110139,0.08333233707861601,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,0,0,0,0
feeder6,-2.9159964108349836,0.2458104412401364,7.748872897697771,0.06251740010014187,0.08333233793994065,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,0,0,0,0
feeder7,-1.8761708760727274,-0.09778747501178048,3.7485880392297646,0.06250172582059617,0.08333233707857236,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,0,0,0,0
feeder8,-5.076030887519764,-0.14087960032393693,7.810290556058602,0.06251739938147652,0.08333233793990084,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,0,0,0,0
feeder9,-0.8823774455890341,-0.06189453486143363,2.036935802314697,0.06250172610344676,0.08333234050300947,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,0,0,0,0
feeder10,-2.177265243371483,0.060526250302334446,3.597138853997948,0.06250170686686683,0.08333234050194746,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,0,0,0,0
feeder11,-1.4773720126911436,0.12078859469460722,3.8098115660802785,0.0625017260993954,0.08333234050300925,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,0,0,0,0
feeder12,-2.1359272986014535,-0.11627227542658142,4.378040466631134,0.06250170686688093,0.08333234050194747,380239234920617e-21,0.6027155787794496,-51.08999763417496,-252.25349205376205,1.4340848922729492,0,0,0,0,0
