Feeder,Pf,QF,Pg,B,R,P_rsrv,Cost,time
feeder1,0.47609366279182613,0.09076850145294998,2.8099063656188665,0.24999998992798295,-28410692627684948e-24,0,17506.05668735535,1.5398378372192383
feeder2,0.5020010095302653,0.1132,1.761999018880427,0.24999998992798295,-28410692627677106e-24,0,17506.05668735535,1.5398378372192383
feeder3,0.31522444001098,-0.1253,2.1907755883997124,0.24999998992798295,-2841069262768428e-23,0,17506.05668735535,1.5398378372192383
feeder4,0.3811254523443052,-0.0864,1.3468745760663874,0.24999998992798295,-2841069262767062e-23,0,17506.05668735535,1.5398378372192383
feeder5,0.22444244348875245,0.06856890062664994,1.906557585441826,0.24999998990053748,-28930578614910894e-24,0,17506.05668735535,1.5398378372192383
feeder6,0.6178641071864377,0.18935000000000002,3.169135921744141,0.24999998990053748,-28930578614918418e-24,0,17506.05668735535,1.5398378372192383
feeder7,0.22372933378508122,-0.09805000000000001,1.7372706951454975,0.24999998990053748,-2893057861488667e-23,0,17506.05668735535,1.5398378372192383
feeder8,0.6092432611685654,-0.16770000000000002,2.7447567677620133,0.24999998990053748,-28930578614884914e-24,0,17506.05668735535,1.5398378372192383
feeder9,0.10528115771439094,-0.06330000000000001,1.1607188697862805,0.24999998999958528,-275006713891503e-22,0,17506.05668735535,1.5398378372192383
feeder10,0.3743671055934522,0.04767459622059063,1.3226329219072193,0.24999998999958528,-27500671389148205e-24,0,17506.05668735535,1.5398378372192383
feeder11,0.1864606932720879,0.11430000000000001,2.0995393342285835,0.24999998999958528,-2750067138916167e-23,0,17506.05668735535,1.5398378372192383
feeder12,0.23454931384906316,-0.10360000000000001,1.8374507136516083,0.24999998999958528,-27500671389154094e-24,0,17506.05668735535,1.5398378372192383
