Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,1.927879663771882,0.09497884902405895,1.4854253778014446,0.11121519287638361,-0.08330504157332647,0.0,0.0,16.607991672867353,56.59173687245264,1.688,5334.784525848142,5333.247708397117,0.006259439557762044,5.7750232653386195,0.004964897572347435
feeder2,1.3878432395776215,0.11180000000000001,0.9314618019957053,0.11121519287639799,-0.08330504157332648,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,5333.047226179617,0.00801492697773225,6.535699522053199,0.005126266424321667
feeder3,1.4231751246590663,-0.12490000000000001,1.1581299169142605,0.11121519287649986,-0.08330504157332647,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,5333.067150370395,0.0034666862689755155,4.2972688854755345,0.004644314477227185
feeder4,1.0352943047670444,-0.0832,0.7120107368062819,0.11121519287663921,-0.08330504157332645,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,0.0,0.0,0.0,0.0
feeder5,1.211425314864655,0.07067722208895225,1.0078798002487837,0.11121427962176768,-0.08330511511343862,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,0.0,0.0,0.0,0.0
feeder6,2.2309755463644323,0.19115000000000001,1.6753295687490062,0.11121427962184784,-0.0833051151134386,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,0.0,0.0,0.0,0.0
feeder7,1.1309156750995841,-0.0983,0.9183894400138545,0.11121427962176796,-0.08330511511343862,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,0.0,0.0,0.0,0.0
feeder8,1.9613190149259385,-0.16645000000000001,1.4509861001875002,0.11121427962185614,-0.08330511511343859,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,0.0,0.0,0.0,0.0
feeder9,0.7477775110541776,-0.0639,0.6135275743304485,0.11121681648732848,-0.083305085384626,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,0.0,0.0,0.0,0.0
feeder10,1.0231921350272857,0.047222220039077334,0.6991129503573403,0.11121681648720315,-0.08330508538462601,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,0.0,0.0,0.0,0.0
feeder11,1.3545375043484142,0.11904999999999999,1.1097675810362115,0.1112168164873111,-0.083305085384626,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,0.0,0.0,0.0,0.0
feeder12,1.1710714435478413,-0.10295000000000001,0.9712336418367848,0.11121681648713443,-0.08330508538462601,0.0,0.0,16.607991672867353,56.59173687245264,1.688,0.0,0.0,0.0,0.0,0.0
