BCap,pen_25,pen_50,pen_75,pen_100
3,2003.6579114106787,3937.1714905182534,5354.076061354155,6223.596086101739
15,2003.6579089530642,3937.1714521492304,5356.345059003401,6243.224021842508
30,2003.6579043368897,3937.171429397915,5354.077891183917,6256.517150234236
