BCap,pen_25,pen_50,pen_75,pen_100
3,24023.320454540975,16184.784742253674,9548.673838078512,4137.709228895268
15,23502.735085179174,15664.19943986343,9020.499663948405,3574.3313003968055
30,22848.962689555134,15010.42731824368,8374.31286789848,2888.4498440366483
