CC,pen_25,pen_50,pen_75,pen_100
90,24023.320433263703,16184.78473630532,9543.425473717194,4137.709161784598
95,24023.320454540975,16184.784742253674,9548.673838078512,4137.709228895268
99,24023.320499206588,16184.78492000947,9548.673919637087,4143.3836048768
