Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,-3.4664662087921405,-0.16794999932700078,6.825466194050914,0.24999999622554134,14741226907407772e-24,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder2,-4.050090368297452,-0.10885,6.227090353556226,0.24999999622554134,1474122690741074e-23,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder3,-5.012431983856924,-0.1365,7.742431969115698,0.24999999622554134,14741226907410526e-24,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder4,1.7309999852587732,-0.08655000000000002,0,0.24999999622554134,14741226907411587e-24,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder5,-3.294064055304369,-0.11409999928454512,5.576064036614416,0.24999999635919548,18689952950655992e-24,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder6,-6.918060583956747,-0.2141,11.200060565266794,0.24999999635919548,18689952950658887e-24,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder7,-3.9936978683120743,-0.1073,6.139697849622121,0.24999999635919548,18689952950659797e-24,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder8,3.414999981310047,-0.17075,0,0.24999999635919548,1868995295065577e-23,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder9,-1.6495220554485792,-0.06404999936982486,2.930522036688564,0.24999999630987876,1876001519400041e-23,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder10,-2.9531136630558326,-0.08610000000000001,4.675113644295817,0.24999999630987876,18760015194001768e-24,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder11,-4.779246553311615,-0.1321,7.421246534551599,0.24999999630987876,18760015193999707e-24,0,-28.779959776824,-87.39514452228887,3.002020835876465
feeder12,2.1829999812399845,-0.10915,0,0.24999999630987876,18760015194000243e-24,0,-28.779959776824,-87.39514452228887,3.002020835876465
