Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,3.3312393947195478,0.14476681033450972,-0.0,0.09721185389642716,0.08296060663839547,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,5347.428897239308,5344.644192959238,0.02049641043640586,10.46756895464243,0.013242223964525155
feeder2,2.0872019673598223,0.10850812869991089,-0.0,0.09721185389628814,0.08296060663839563,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,5344.0587534418655,0.03025268925834842,12.717704070632735,0.012266439281742156
feeder3,3.518934560171589,-0.18009475834049926,-0.0,0.09721185389641283,0.08296060663839566,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,5343.921779359709,0.014503065642773424,8.805211783926783,0.011261265306686932
feeder4,1.527472216547452,-0.08052164115929239,-0.0,0.09721185389634965,0.08296060663839559,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,0.0,0.0,0.0,0.0
feeder5,3.355204722040321,0.0920427279883804,-0.0,0.09721142305773313,0.082961571818192,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,0.0,0.0,0.0,0.0
feeder6,3.6191447400972474,0.18510531559577195,-0.0,0.09721142305768755,0.08296157181819172,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,0.0,0.0,0.0,0.0
feeder7,2.1944205161040586,-0.11386910439611253,-0.0,0.09721142305766957,0.08296157181819183,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,0.0,0.0,0.0,0.0
feeder8,3.544918140574615,-0.18139398561964037,-0.0,0.09721142305778373,0.0829615718181918,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,0.0,0.0,0.0,0.0
feeder9,1.8999054438959975,0.0808113948076271,-0.0,0.09721171747973756,0.08296117240344078,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,0.0,0.0,0.0,0.0
feeder10,2.0232543598998256,-0.10531077661516333,-0.0,0.09721171747975044,0.08296117240344077,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,0.0,0.0,0.0,0.0
feeder11,2.5787166093550487,0.13308388908792446,-0.0,0.09721171747985366,0.08296117240344039,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,0.0,0.0,0.0,0.0
feeder12,2.3004475212295303,-0.11917043468164855,-0.0,0.09721171747978335,0.0829611724034405,6.109878919463753e-5,0.8259032272946789,32.187091462490486,100.82606400625146,1.969,0.0,0.0,0.0,0.0,0.0
