Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,-1.5686818765777544,0.07875405079525838,4.947681876192699,0.24999999906058054,38505525390818293e-26,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder2,-0.9855270015191252,-0.10585,3.10252700113407,0.24999999906058054,3850552539075049e-25,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder3,-1.1265165730981657,-0.13655,3.85751657271311,0.24999999906058054,38505525390793756e-26,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder4,-0.6825760878916892,-0.08445000000000001,2.371576087506634,0.24999999906058054,38505525390796657e-26,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder5,-1.098065791290421,-0.11295,3.357065790437286,0.2499999990881358,8531350123038992e-25,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder6,-1.34721296471878,0.13335735448286273,5.580212963865645,0.2499999990881358,853135012303471e-24,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder7,-0.966985381782926,-0.10460000000000001,3.058985380929791,0.2499999990881358,8531350123029223e-25,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder8,-1.5709663602430404,-0.16310000000000002,4.832966359389905,0.2499999990881358,8531350123021172e-25,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder9,-0.7503222103171054,0.0028417906359673867,2.044322209389912,0.24999999907663828,9271936056236951e-25,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder10,-0.7034940245871215,0.0813,2.3294940236599277,0.24999999907663828,9271936056235925e-25,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder11,-1.0278244316633256,-0.1335,3.697824430736132,0.24999999907663828,9271936056234609e-25,0,-12.855840634864244,-69.5393846340865,5.28431510925293
feeder12,-1.029219503197644,-0.11035,3.2362195022704503,0.24999999907663828,9271936056233896e-25,0,-12.855840634864244,-69.5393846340865,5.28431510925293
