Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,0.1768868347047541,0.07044015558745503,3.134113118336991,0.24999999100906742,469582548184591e-22,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder2,0.27470157323483346,0.11200000000000002,1.965298379806912,0.24999999100906742,4695825481838827e-23,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder3,0.051452784021061924,-0.12475000000000001,2.4435471690206834,0.24999999100906742,4695825481812152e-23,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder4,0.16972305402945145,-0.08360000000000001,1.5022768990122937,0.24999999100906742,469582548184427e-22,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder5,0.0014639619244367049,0.04725306523178896,2.126535999495232,0.2499999908982546,38580331432106395e-24,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder6,0.29420929147417757,0.19145,3.534790669945491,0.2499999908982546,3858033143221336e-23,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder7,0.030283058135074977,-0.0984,1.9377169032845936,0.2499999908982546,38580331432193064e-24,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder8,0.2695532915604239,-0.16655,3.0614466698592446,0.2499999908982546,3858033143198481e-23,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder9,-0.023538376312810024,0.05076140989388245,1.2945383187541912,0.24999999105825005,575586187003759e-22,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder10,0.182880353017217,-0.0829,1.4751195894241642,0.24999999105825005,5755861870034114e-23,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder11,0.022404213657302,0.1182,2.341595728784079,0.24999999105825005,57558618700408285e-24,0,1.4667536585928589,6.766623544975055,2.083522081375122
feeder12,0.016709094304582065,-0.1033,2.049290848136799,0.24999999105825005,5755861870036304e-23,0,1.4667536585928589,6.766623544975055,2.083522081375122
