Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,3.3609998189656562,0.09998338866163439,0,0.24999999625225036,18103434415183336e-23,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder2,2.021999818965656,0.1011,0,0.24999999625225036,1810343441518861e-22,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder3,2.710999818965656,-0.13555,0,0.24999999625225036,1810343441519225e-22,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder4,1.6489998189656558,-0.08245000000000001,0,0.24999999625225036,18103434415195941e-23,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder5,2.581999826717629,0.08107669125617431,0,0.24999999585755642,17328237059092226e-23,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder6,3.6319998267176294,0.1816,0,0.24999999585755642,17328237059095876e-23,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder7,2.3029998267176293,-0.11515,0,0.24999999585755642,17328237059093867e-23,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder8,3.4879998267176293,-0.1744,0,0.24999999585755642,17328237059099166e-23,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder9,1.707999813176256,0.055315249327981375,0,0.24999999676200846,18682374392351494e-23,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder10,1.666999813176256,-0.08335000000000001,0,0.24999999676200846,1868237439235397e-22,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder11,2.571999813176256,0.12860000000000002,0,0.24999999676200846,18682374392356383e-23,0,30.081519755982562,94.48103996691522,2.026890993118286
feeder12,2.377999813176256,-0.1189,0,0.24999999676200846,18682374392350591e-23,0,30.081519755982562,94.48103996691522,2.026890993118286
