Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,-0.7568852742593433,-0.03773044397542091,4.132218248756659,0.12499056894875996,-0.08333297449731564,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder2,-0.3218439789799566,0.10930000000000001,2.591176953477272,0.12499056894875996,-0.08333297449731564,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder3,-0.502398226300349,-0.1318,3.221731200797665,0.12499056894875996,-0.08333297449731564,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder4,-0.18036640349963223,-0.08585000000000001,1.980699377996948,0.12499056894875996,-0.08333297449731564,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder5,-0.48743020858310215,-0.0741941547192855,2.803763173383274,0.11707140821745766,-0.08333296480017172,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder6,-0.5411645013551372,0.20179999999999998,4.6604974661553085,0.11707140821745869,-0.08333296480017172,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder7,-0.4094787796880577,-0.1031,2.5548117444882292,0.11707140821745905,-0.08333296480017172,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder8,-0.5000770463953814,-0.17265,4.036410011195553,0.11707140821745492,-0.08333296480017172,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder9,-0.36781407876857075,0.03957516396694666,1.707147046783355,0.10565209269958262,-0.08333296801478418,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder10,-0.0869519997701057,0.08875,1.9452849677848898,0.10565209269958944,-0.08333296801478418,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder11,-0.5856003795527279,-0.12095,3.087933347567512,0.10565209269958672,-0.08333296801478418,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
feeder12,-0.5261290629150858,-0.10465,2.70246203092987,0.10565209269958947,-0.08333296801478418,0,-7.265628050859504,-21.427548059993153,2.5325419902801514
