Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,3.768148934623426,0.13175462624266016,0.7299070117406057,0.1526016653413802,-0.08331975073057134,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,5345.768279676536,5343.272868337527,0.016419452174218082,9.366820195318045,0.012630940824174737
feeder2,1.5348238968170458,0.10224315628027719,0.5933589795190691,0.1526016653413886,-0.08331975073057134,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,5342.747191055576,0.024232353929520237,11.37991986495447,0.012240900989346987
feeder3,2.5024875604351084,-0.146206811845456,0.5049684272045829,0.15260166534141817,-0.08331975073057134,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,5342.797078807272,0.01034335344547582,7.434279376476837,0.011411521943343973
feeder4,1.5591801274728547,-0.09164937617098051,0.35712714667732687,0.15260166534140057,-0.08331975073057134,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,0.0,0.0,0.0,0.0
feeder5,2.4187999068245776,0.06639983996233456,0.5471519470364239,0.1526171806728255,-0.0833197144363663,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,0.0,0.0,0.0,0.0
feeder6,3.9070605257488435,0.2225850357076674,0.6279599028408707,0.15261718067279606,-0.0833197144363663,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,0.0,0.0,0.0,0.0
feeder7,1.5400311799431325,-0.1078826509116741,0.7009415527267152,0.15261718067280097,-0.0833197144363663,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,0.0,0.0,0.0,0.0
feeder8,3.5108114299552584,-0.19319684358883477,0.43644515625780334,0.15261718067278335,-0.0833197144363663,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,0.0,0.0,0.0,0.0
feeder9,1.1399961926682531,0.06027316496604897,0.4264243272825432,0.1526645960359978,-0.08331978030432771,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,0.0,0.0,0.0,0.0
feeder10,1.1190899098391587,-0.07951950436635757,0.5546199577923203,0.15266459603594745,-0.08331978030432773,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,0.0,0.0,0.0,0.0
feeder11,2.856995540878734,0.14234630556963437,0.0732503508182808,0.15266459603601062,-0.08331978030432771,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,0.0,0.0,0.0,0.0
feeder12,2.3161381242267747,-0.12726953661242252,0.31257238832600304,0.15266459603597,-0.08331978030432771,0.004567916896842785,1.83119379455128,20.7269769228752,69.9428263799808,1.782,0.0,0.0,0.0,0.0,0.0
