SEM,pen_25,pen_50,pen_75,pen_100
0.01,24740.361887570485,17034.38037346276,9363.73108618253,1716.0977309723037
0.02,24834.931395522835,17294.919100398227,9798.348083091112,2318.712079734958
0.03,24919.519457916373,17511.756507407612,10149.04834307588,2801.697997327454
0.035,24959.05573561188,17609.68772891798,10305.282018486814,3015.8620490828725
0.04,24997.15766847712,17702.237682226736,10452.047842961247,3216.5096094500873
0.05,25069.19585913776,17874.340741098636,10723.237702510954,3586.0361060501714
0.085,25289.47036556863,18385.428838223834,11519.245567134858,4664.589692366922
