Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,3.9800000381324376,0.12143391612687375,0,0.24999998418463626,-3813243747665006e-23,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder2,2.2300000381324376,0.1115,0,0.24999998418463626,-3813243747678107e-23,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder3,3.220000038132438,-0.16100000000000003,0,0.24999998418463626,-3813243747675129e-23,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder4,1.9090000381324375,-0.09545000000000001,0,0.24999998418463626,-3813243747673314e-23,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder5,2.9700000471043486,0.07889673748063991,0,0.24999998299469367,-4710434861307492e-23,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder6,4.095000047104349,0.20475,0,0.24999998299469367,-4710434861299228e-23,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder7,2.5500000471043482,-0.1275,0,0.24999998299469367,-47104348612877433e-24,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder8,3.7930000471043486,-0.18965,0,0.24999998299469367,-4710434861275443e-23,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder9,1.8840000427430499,0.05746997058033006,0,0.24999998456801267,-4274305005186092e-23,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder10,1.8760000427430499,-0.0938,0,0.24999998456801267,-42743050051874525e-24,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder11,2.88200004274305,0.1441,0,0.24999998456801267,-42743050051862964e-24,0,34.02085267873744,176.05791261246625,1.9046239852905273
feeder12,2.62100004274305,-0.13105,0,0.24999998456801267,-42743050051865856e-24,0,34.02085267873744,176.05791261246625,1.9046239852905273
