Feeder,Pf,QF,Pg,B,R,Cost,time
feeder1,1.2905247817688128,0.09882253052349022,2.0324749215468376,0.24999998412312785,2966843495508984e-22,12279.427989791146,1.7658350467681885
feeder2,0.8915019792377126,0.10830000000000001,1.2744977240779378,0.24999998412312785,2966843495508584e-22,12279.427989791146,1.7658350467681885
feeder3,1.0813572197148018,-0.1333,1.5846424836008486,0.24999998412312785,296684349550878e-21,12279.427989791146,1.7658350467681885
feeder4,0.7487718158871055,-0.08615,0.974227887428545,0.24999998412312785,2966843495508186e-22,12279.427989791146,1.7658350467681885
feeder5,0.8769394314027988,0.052038716855354605,1.3790602841662434,0.2499999829832727,28443095758172284e-23,12279.427989791146,1.7658350467681885
feeder6,1.8596848639280028,0.2076,2.2923148516410397,0.2499999829832727,2844309575817075e-22,12279.427989791146,1.7658350467681885
feeder7,0.7743886032217152,-0.10155000000000002,1.2566111123473274,0.2499999829832727,28443095758160055e-23,12279.427989791146,1.7658350467681885
feeder8,1.4606488633972023,-0.1723,1.9853508521718402,0.2499999829832727,28443095758157853e-23,12279.427989791146,1.7658350467681885
feeder9,0.43031035931849626,0.06267361282716848,0.8396893590797667,0.24999998295912973,28160173706313554e-23,12279.427989791146,1.7658350467681885
feeder10,0.8111779024623416,-0.0884,0.9568218159359214,0.24999998295912973,28160173706330024e-23,12279.427989791146,1.7658350467681885
feeder11,0.947146675251036,0.12330000000000002,1.5188530431472271,0.24999998295912973,28160173706319764e-23,12279.427989791146,1.7658350467681885
feeder12,0.7807473616720211,-0.1055,1.3292523567262418,0.24999998295912973,2816017370631947e-22,12279.427989791146,1.7658350467681885
