Feeder,Pf,QF,Pg,B,R,Cost,time
feeder1,-0.9271614247182878,-0.1624499930640658,4.2594677964589325,0.23611108699778718,-0.08330637174064455,11639.627040552376,1.9818141460418701
feeder2,-2.7502333745169723,-0.11410000000000001,5.115539746257617,0.23611108699778718,-0.08330637174064455,11639.627040552376,1.9818141460418701
feeder3,-3.7930828665635654,-0.1242,6.36038923830421,0.23611108699778718,-0.08330637174064455,11639.627040552376,1.9818141460418701
feeder4,-2.053019544030511,-0.0887,3.910325915771155,0.23611108699778718,-0.08330637174064455,11639.627040552376,1.9818141460418701
feeder5,-1.8471508828607246,-0.10719999273161968,4.035538954918894,0.23611108120170005,-0.04438807205816923,11639.627040552376,1.9818141460418701
feeder6,-5.406434740701352,-0.1875,9.200822812759515,0.23611108120170005,-0.044388072058163634,11639.627040552376,1.9818141460418701
feeder7,1.9873880720581685,-0.09715000000000001,0,0.23611108120170005,-0.0443880720581684,11639.627040552376,1.9818141460418701
feeder8,-4.562352085480492,-0.16810000000000003,7.968740157538652,0.23611108120170005,-0.044388072058160324,11639.627040552376,1.9818141460418701
feeder9,-1.3017125765413629,-0.06354999364329815,2.573524883020128,0.23611108274565668,-0.0008123064787652169,11639.627040552376,1.9818141460418701
feeder10,1.6958123064787656,-0.08475,0,0.23611108274565668,-0.0008123064787654432,11639.627040552376,1.9818141460418701
feeder11,-3.8849269545942424,-0.1105,6.095739261073008,0.23611108274565668,-0.0008123064787653689,11639.627040552376,1.9818141460418701
feeder12,-3.2959867481948537,-0.10189999999999999,5.334799054673619,0.23611108274565668,-0.0008123064787653353,11639.627040552376,1.9818141460418701
