Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,0.174269915004114,0.08851180424612208,3.0207301985433332,0.2499999821500393,-1135474474199503e-22,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder2,-0.00219951130261056,0.0946,1.8941996248500579,0.2499999821500393,-11354744741994517e-23,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder3,0.08485334376425066,-0.122,2.3551467697831967,0.2499999821500393,-11354744741994107e-23,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder4,-0.008928795247344714,-0.07195,1.4479289087947922,0.2499999821500393,-1135474474199498e-22,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder5,-0.028604169774163357,0.03519142846091872,2.049604277964317,0.24999998249994637,-10819015361449316e-23,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder6,0.5220878399410601,0.19645,3.4069122682490933,0.24999998249994637,-1081901536145307e-22,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder7,-0.007615857395645408,-0.09300000000000001,1.8676159655857991,0.24999998249994637,-10819015361452672e-23,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder8,0.03830763669094839,-0.14945,2.950692471499205,0.24999998249994637,-10819015361450523e-23,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder9,-0.06834296128464849,0.04453661414480242,1.249343071351733,0.24999998238098134,-11006708451999505e-23,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder10,0.013380429663203814,-0.07185000000000001,1.4236196804038808,0.24999998238098134,-11006708452000012e-23,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder11,0.24315501889858934,0.12515,2.2598450911684953,0.24999998238098134,-11006708451999774e-23,0,1.0846273916312912,9.608894833693547,2.4801149368286133
feeder12,0.12425484575399644,-0.1051,1.977745264313088,0.24999998238098134,-11006708451999926e-23,0,1.0846273916312912,9.608894833693547,2.4801149368286133
