Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,1.9581189968884387,0.09200011578104074,1.272880761105439,0.24999999410265392,2420061222939831e-22,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder2,1.4758183827172664,0.11370000000000001,0.7981813752766114,0.24999999410265392,24200612229395765e-23,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder3,1.5075836139812708,-0.125,0.9924161440126069,0.24999999410265392,2420061222939918e-22,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder4,1.1668687704449412,-0.08885,0.6101309875489364,0.24999999410265392,24200612229400736e-23,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder5,1.3013338443803204,0.0695500749023632,0.8636659123901858,0.24999999409824264,24322949393518637e-23,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder6,2.3313887028758673,0.18835000000000002,1.4356110538946387,0.24999999409824264,24322949393516784e-23,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder7,1.1950202534788024,-0.09910000000000001,0.7869795032917037,0.24999999409824264,2432294939352113e-22,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder8,2.145631452806233,-0.16945,1.2433683039642731,0.24999999409824264,2432294939351674e-22,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder9,0.7391605192109587,-0.06325,0.5258392393846858,0.2499999941147528,24140435539009737e-23,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder10,1.1128085780910124,0.04921751344409141,0.599191180504632,0.2499999941147528,2414043553901053e-22,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder11,1.2658473781012305,0.11085,0.9511523804944141,0.2499999941147528,2414043553901225e-22,0,17.399995583130263,54.867986072137434,2.069000005722046
feeder12,1.1975811456940535,-0.10149999999999999,0.8324186129015909,0.2499999941147528,24140435539010854e-23,0,17.399995583130263,54.867986072137434,2.069000005722046
