Feeder,Pf,QF,Pg,B,R,Cost,time
feeder1,-1.765399503259847,-0.1621999919028919,4.9260665519108855,0.24305549961020068,0.08333295134896186,11620.858658514797,1.917327880859375
feeder2,-2.9138292654061573,-0.1142,5.114496314057195,0.24305549961020068,0.08333295134896186,11620.858658514797,1.917327880859375
feeder3,-3.9604248417157795,-0.12410000000000002,6.359091890366818,0.24305549961020068,0.08333295134896186,11620.858658514797,1.917327880859375
feeder4,-2.2148612660502307,-0.0889,3.909528314701269,0.24305549961020068,0.08333295134896186,11620.858658514797,1.917327880859375
feeder5,-2.4901884315394898,-0.10734999152121555,4.5538554883574704,0.24305549313353497,0.08333294318201895,11620.858658514797,1.917327880859375
feeder6,-5.534279036129078,-0.1874,9.19894609294706,0.24305549313353497,0.08333294318201895,11620.858658514797,1.917327880859375
feeder7,1.8616670568179812,-0.09725,0,0.24305549313353497,0.08333294318201895,11620.858658514797,1.917327880859375
feeder8,-4.685447692554651,-0.16825,7.967114749372632,0.24305549313353497,0.08333294318201895,11620.858658514797,1.917327880859375
feeder9,-1.7122949715108193,-0.06354999257029105,2.8999620177294014,0.24305549556077483,0.08333295378141782,11620.858658514797,1.917327880859375
feeder10,1.6116670462185823,-0.08475,0,0.24305549556077483,0.08333295378141782,11620.858658514797,1.917327880859375
feeder11,-3.9748643538422272,-0.11015,6.094531400060809,0.24305549556077483,0.08333295378141782,11620.858658514797,1.917327880859375
feeder12,-3.3830749265310773,-0.1017,5.333741972749659,0.24305549556077483,0.08333295378141782,11620.858658514797,1.917327880859375
