Feeder,Pf,QF,Pg,B,R,Cost,time
feeder1,-0.5622770452588394,0.02039849279691408,3.906277119972267,0.249999966074325,-7471342772627625e-23,12444.783139675968,1.571502923965454
feeder2,-0.2854967409886095,0.10820000000000002,2.4494968157020374,0.249999966074325,-7471342772632236e-23,12444.783139675968,1.571502923965454
feeder3,-0.35157360052765946,-0.13470000000000001,3.045573675241087,0.249999966074325,-7471342772630546e-23,12444.783139675968,1.571502923965454
feeder4,-0.14239880285287992,-0.08650000000000001,1.8723988775663076,0.249999966074325,-7471342772628674e-23,12444.783139675968,1.571502923965454
feeder5,-0.3774591073387644,-0.03134983696004251,2.6504591908315227,0.2499999651307574,-8349275817287379e-23,12444.783139675968,1.571502923965454
feeder6,-0.17167112611533883,0.2117,4.405671209608097,0.2499999651307574,-8349275817284061e-23,12444.783139675968,1.571502923965454
feeder7,-0.36511989680965085,-0.1025,2.415119980302409,0.2499999651307574,-8349275817288846e-23,12444.783139675968,1.571502923965454
feeder8,-0.3767074682524355,-0.17195000000000002,3.8157075517451937,0.2499999651307574,-8349275817286701e-23,12444.783139675968,1.571502923965454
feeder9,-0.3368451100397267,0.0064009589038576675,1.6138451865420755,0.2499999658373179,-7650234891071775e-23,12444.783139675968,1.571502923965454
feeder10,-0.08496800369843503,-0.0877,1.838968080200784,0.2499999658373179,-7650234891076889e-23,12444.783139675968,1.571502923965454
feeder11,-0.38916650012034637,0.1265,2.919166576622695,0.2499999658373179,-7650234891076045e-23,12444.783139675968,1.571502923965454
feeder12,-0.419762590734881,-0.10675,2.5547626672372297,0.2499999658373179,-7650234891071999e-23,12444.783139675968,1.571502923965454
