Feeder,Pf,QF,Pg,B,R,Cost,time
feeder1,3.8827373604658786,0.1256459290582777,0.21726274456591455,0.24999997576551547,-10503179364672503e-23,10153.199329810097,1.6910810470581055
feeder2,2.17076179292322,0.11535000000000001,0.13623831210857318,0.24999997576551547,-10503179364676579e-23,10153.199329810097,1.6910810470581055
feeder3,3.1586086552216286,-0.1664,0.16939144981016457,0.24999997576551547,-10503179364665693e-23,10153.199329810097,1.6910810470581055
feeder4,1.8368593439422514,-0.09705000000000001,0.10414076108954239,0.24999997576551547,-10503179364667052e-23,10153.199329810097,1.6910810470581055
feeder5,2.771584562788076,0.07960197046831799,0.14741554209091667,0.24999997511062133,-10487899246920658e-23,10153.199329810097,1.6910810470581055
feeder6,3.919961529831767,0.20825000000000002,0.24503857504722534,0.24999997511062133,-10487899246920651e-23,10153.199329810097,1.6910810470581055
feeder7,2.405673794451931,-0.127,0.13432631042706156,0.24999997511062133,-1048789924692319e-22,10153.199329810097,1.6910810470581055
feeder8,3.6077746579964614,-0.191,0.2122254468825309,0.24999997511062133,-10487899246925087e-23,10153.199329810097,1.6910810470581055
feeder9,1.7161369154369963,0.05977121170985114,0.08986318517780312,0.24999997658350526,-10061479937263795e-23,10153.199329810097,1.6910810470581055
feeder10,1.7506013717823075,-0.09265000000000001,0.10239872883249192,0.24999997658350526,-10061479937265593e-23,10153.199329810097,1.6910810470581055
feeder11,2.7464529906813713,0.14545,0.1625471099334276,0.24999997658350526,-10061479937266657e-23,10153.199329810097,1.6910810470581055
feeder12,2.5227439883905802,-0.13325,0.1422561122242188,0.24999997658350526,-10061479937269418e-23,10153.199329810097,1.6910810470581055
