BCap,pen_25,pen_50,pen_75,pen_100
3,2003.6575691302342,4007.3155630222477,6010.973573902592,7975.013534676126
15,2003.6575663028993,4007.3155565215447,6010.973519072991,7986.642873673454
30,2003.6575448043202,4007.315537854114,6010.973509346901,7996.245422023768
