CC,pen_25,pen_50,pen_75,pen_100
90,23789.034127351453,15771.220223357852,7756.0440218663,-55.625715718625116
95,23789.04822815084,15771.238584291284,7756.034514402154,-55.287855727207045
99,23789.067118907045,15771.207721179033,7756.087143011843,-55.14442861892045
