BCap,pen_25,pen_50,pen_75,pen_100
3,23789.04822815084,15771.238584291284,7756.034514402154,-55.287855727207045
15,22860.191904406096,14842.401224859206,6827.350657493892,-1022.1855014029125
30,21700.398349695377,13682.855017949465,5667.992801168068,-2200.2643842437988
