Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,0.3359171623393042,0.11252510903975328,2.6338602668561926,0.08407332856531563,0.08321524661216256,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,4807.246199602714,4806.851453820324,0.00046428850994823255,1.482622325586522,0.0007847454944169058
feeder2,0.3678500697217777,0.10961450301889929,1.7412247440440454,0.08407332856522831,0.08321524661216251,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,4807.128965588384,4.6797540277830076e-5,0.4369200375228672,0.0006322828490309053
feeder3,0.30883876042952785,-0.1339947070888778,2.2878401347358652,0.08407332856530947,0.08321524661216283,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,4807.449999654323,5.98557360923367e-5,-0.5149555246410374,0.0004677747008571442
feeder4,0.46995470242371207,-0.08782637173466694,1.2033574856574638,0.08407332856519817,0.08321524661216272,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,0.0,0.0,0.0,0.0
feeder5,0.16842559437840846,0.05559043414158246,1.9494646652337302,0.08407384659084849,0.08321388785408232,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,0.0,0.0,0.0,0.0
feeder6,-0.12859734118619745,0.19970153728225,4.0394141989771155,0.08407384659069096,0.08321388785408187,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,0.0,0.0,0.0,0.0
feeder7,-0.22488900347212903,-0.08693925695671671,1.8804602547523812,0.08407384659074953,0.0832138878540819,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,0.0,0.0,0.0,0.0
feeder8,0.6219745826174071,-0.1677673744117469,2.6501590177634493,0.08407384659070655,0.08321388785408146,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,0.0,0.0,0.0,0.0
feeder9,-0.33139737496234567,-0.05587003749261182,1.36558324187369,0.08410522542402676,0.08321488294089194,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,0.0,0.0,0.0,0.0
feeder10,0.02116362884200594,0.05271091876618041,1.3876487119458574,0.08410522542403272,0.08321488294089198,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,0.0,0.0,0.0,0.0
feeder11,-0.1817713795045604,0.10729437366589419,2.2444439698815524,0.08410522542398449,0.08321488294089167,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,0.0,0.0,0.0,0.0
feeder12,-0.022962306786464395,-0.10375756517440954,2.0148987273337626,0.08410522542426627,0.08321488294089231,0.056006797600432444,1.0084259034998981,-7.762073216003534,-14.471864040187231,1.812,0.0,0.0,0.0,0.0,0.0
