SEM,pen_25,pen_50,pen_75,pen_100
0.025,24883.187496039183,17417.150693120948,9995.999701685561,2590.491883644798
0.1,25380.115827666046,18584.772157218802,11829.950659826221,5085.619709734718
0.2,25844.243484170038,19611.028498473624,13405.70361678953,7209.367238153476
