Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,3.8642776869958535,0.12513925420855732,0.148722278820399,0.24999999076150933,34183747380968525e-24,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder2,2.161741103878784,0.11275,0.09325886193746857,0.24999999076150933,3418374738061539e-23,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder3,3.163046871662793,-0.16395,0.11595309415345942,0.24999999076150933,3418374738084024e-23,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder4,1.8547127580536324,-0.0963,0.07128720776262007,0.24999999076150933,34183747380641385e-24,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder5,2.877089991225628,0.08092650603015986,0.1009099601353114,0.24999999084251653,4863906060012729e-23,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder6,3.9552643248253463,0.20615000000000003,0.16773562653559324,0.24999999084251653,48639060600116506e-24,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder7,2.4590499070246326,-0.12755000000000002,0.0919500443363066,0.24999999084251653,486390606002388e-22,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder8,3.6727258111861647,-0.19090000000000001,0.14527414017477439,0.24999999084251653,4863906060013851e-23,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder9,1.816159522366871,0.06011431679437805,0.06284042238714704,0.24999999128287834,55245981990395624e-24,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder10,1.811393502720711,-0.09415000000000001,0.07160644203330699,0.24999999128287834,55245981990359115e-24,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder11,2.779332320772378,0.14465,0.11366762398163954,0.24999999128287834,5524598199020968e-23,0,32.97250564774714,163.3787651255022,1.4465420246124268
feeder12,2.547521619485639,-0.13235,0.09947832526837866,0.24999999128287834,5524598199044667e-23,0,32.97250564774714,163.3787651255022,1.4465420246124268
