Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,4.292924304958,0.10976880692307721,-0.0,0.08340785967294972,-0.03220689903119983,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,5347.629310586072,5344.668732544661,0.023208346713832064,11.138955314507553,0.013443152255502386
feeder2,2.2090433605744404,0.10884182307715602,-0.0,0.08340785967291392,-0.03220689903131994,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,5344.095757787058,0.033298860130001814,13.343027051807255,0.012521227572645899
feeder3,3.1835707566067617,-0.1575681928787816,-0.0,0.08340785967292771,-0.03220689903113008,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,5344.111456133237,0.014578984413122758,8.828455488527888,0.01181060084709334
feeder4,1.4503360678429484,-0.07090645844055027,-0.0,0.0834078596728516,-0.032206899031943056,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,0.0,0.0,0.0,0.0
feeder5,2.494689136435488,0.08962334491628454,-0.0,0.08340740645240374,-0.0460857513735029,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,0.0,0.0,0.0,0.0
feeder6,4.293487075815065,0.21237006622212273,-0.0,0.08340740645253565,-0.04608575137261116,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,0.0,0.0,0.0,0.0
feeder7,2.659371578542518,-0.13066429135849963,-0.0,0.08340740645250384,-0.04608575137252525,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,0.0,0.0,0.0,0.0
feeder8,3.8910589212540696,-0.1922486584940827,-0.0,0.08340740645254405,-0.04608575137241537,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,0.0,0.0,0.0,0.0
feeder9,1.5961273566936085,-0.07689229074422836,-0.0,0.08340761281248384,-0.058281541809041326,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,0.0,0.0,0.0,0.0
feeder10,2.2462663124371245,0.05425310274860788,-0.0,0.08340761281259447,-0.058281541808188,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,0.0,0.0,0.0,0.0
feeder11,2.616462010504379,0.1279090234347747,-0.0,0.08340761281247759,-0.058281541808885194,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,0.0,0.0,0.0,0.0
feeder12,2.3666968138994218,-0.11542076360452838,-0.0,0.08340761281251127,-0.058281541808854476,3.17003017322461e-5,0.6448903842455489,33.5497011408314,143.5927208827584,1.875,0.0,0.0,0.0,0.0,0.0
