BCap,pen_25,pen_50,pen_75,pen_100
3,23789.0482,15771.2386,7756.03451,-55.287856
15,22860.1919,14842.4012,6827.35066,-1022.1855
30,21700.3983,13682.855,5667.9928,-2200.2644
,,,,
3,0.013742992,0.116086768,0.04079483,0.060823414
15,0.046562321,0.180708866,0.17208943,0.313216966
30,0.092719448,0.273566761,0.398955853,0.942298248
