Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,-5.048604605561025,0.09674475231248841,8.69972500805804,0.8681611472273748,-0.41612040249701526,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,5342.670137042097,5346.271068592091,0.03491897130419364,-13.656805436740072,0.030262421713504302
feeder2,-2.7811893620878063,0.1129,5.455309764585232,0.8681611472259205,-0.41612040249742577,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,5347.023708684019,0.051012475965711485,-16.507220856818282,0.04054847916428243
feeder3,-3.83872075198056,-0.1264,6.782841154477939,0.8681611472273404,-0.41612040249737864,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,5346.9626705026085,0.022337024542002343,-10.92260664880182,0.03616844853639274
feeder4,-1.9929262023835106,-0.08805,4.17004660488133,0.8681611472255018,-0.41612040249781923,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,0.0,0.0,0.0,0.0
feeder5,-3.308729206318409,0.07076872138096493,5.902874717550446,0.8681521563981508,-0.4161455112320374,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,0.0,0.0,0.0,0.0
feeder6,-5.592788521610587,0.19015,9.811934032842883,0.8681521563986079,-0.41614551123229565,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,0.0,0.0,0.0,0.0
feeder7,-2.9406031063333193,-0.1011,5.378748617565581,0.868152156397645,-0.41614551123226146,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,0.0,0.0,0.0,0.0
feeder8,-4.671871931534715,-0.1705,8.498017442766605,0.8681521563988649,-0.41614551123188975,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,0.0,0.0,0.0,0.0
feeder9,-1.9208491421128775,-0.06285,3.593987436235339,0.8681678523343479,-0.4161382941224615,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,0.0,0.0,0.0,0.0
feeder10,-1.9481927980387195,0.05447025950956451,4.09533109216102,0.8681678523347146,-0.41613829412230063,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,0.0,0.0,0.0,0.0
feeder11,-3.8257649967791747,0.11295,6.500903290901546,0.8681678523352345,-0.4161382941223704,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,0.0,0.0,0.0,0.0
feeder12,-3.2322475613876596,-0.10205,5.6893858555100705,0.868167852334932,-0.416138294122411,0.0,0.0,-41.086632942360175,-122.02729314196789,1.781,0.0,0.0,0.0,0.0,0.0
