Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,3.802000230479014,0.11484043733173827,0,0.24999996918086415,-23047901431166586e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder2,2.165000230479014,0.10825000000000001,0,0.24999996918086415,-23047901431162655e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder3,3.0710002304790143,-0.15355000000000002,0,0.24999996918086415,-23047901431168746e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder4,1.8190002304790143,-0.09095,0,0.24999996918086415,-23047901431169476e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder5,2.9200002205479083,0.07603000977767682,0,0.24999996860259316,-22054790818950113e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder6,4.009000220547908,0.20045000000000002,0,0.24999996860259316,-220547908189365e-21,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder7,2.5210002205479083,-0.12605,0,0.24999996860259316,-22054790818933043e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder8,3.647000220547908,-0.18235,0,0.24999996860259316,-22054790818944496e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder9,1.8580002070435058,0.05723204252290691,0,0.2499999719977208,-20704350577994332e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder10,1.8270002070435056,-0.09135,0,0.2499999719977208,-20704350577985991e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder11,2.797000207043506,0.13985,0,0.2499999719977208,-20704350577989565e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
feeder12,2.557000207043506,-0.12785,0,0.2499999719977208,-20704350577990677e-23,0,33.00322734805079,141.2538130496574,1.8754360675811768
